origem,topico,arquivo,texto
training,wheat,0002192,usda estimates australia wheat crop washington march the us agriculture department forecast australias wheat crop at mln tonnes vs mln tonnes last month it estimated output at mln tonnes vs mln last month australian wheat exports in are forecast at mln tonnes vs mln tonnes last month while exports in are estimated at mln tonnes vs mln last month
training,wheat,0005048,ec grants tonnes barley french maize licences rejects wheat traders blah blah blah
training,wheat,0004696,house farm leader sees billion dlr budget cuts washington march the agriculture budget will have to be cut by an additional one to two billion dlrs the chairman of a key house agriculture subcommittee said implementation of a program a tightening up of the use of commodity certificates and reconstitution of farms are possibilities that will be studied to reduce farm spending said dan glickman dkans chairman of the house agriculture subcommittee on wheat soybeans and feedgrains speaking at the annual meeting of the national grain and feed association glickman said he learned this week from the house budget committee that the agriculture committee will have to reduce the fiscal year farm budget by up to two billion dlrs from the billion dlrs level already approved decisions on how to cut the farm budget will have to be made very quickly in order to make any impact on the fy budget glickman added glickman also said his committee will not approve usdas proposal to cut target prices by ten pct per year the administrations target price proposals are dead in the water he said to cut the budget glickman said everthing is on the table except those moves that would reduce farmers income glickman offered a list of possibilities that his committee will study in order to cut farm spending implementation of a program for winter wheat and feedgrains crops has been introduced by glickman which he said would result in a mln dlr savings for one year tightening up on the use of generic inkind or pik certificates will also be another option his committee will study glickman said while not committing himself for or against such action he said lawmakers have to examine recent government findings which indicate certificates cost more than cash payments glickman said rules for the reconstitution of farms and tightening up of the person definition for annual payment limitations is another option and could save mln dlrs he also said increasing acreage setaside requirements by five pct for wheat and feedgrains at program signup was a move that could save about one billion dlrs but added that he would not be in favor of such a change glickman also said that the export enhancement programs eep spending authority of billion dlrs is quickly being used up and congress will have to decide whether to expand this program while making cuts in other areas cuts in the eep program are unlikely he said i dont see right now that the eep will be on the chopping block glickman said
training,wheat,0000002,argentine grainoilseed registrations buenos aires feb argentine grain board figures show crop registrations of grains oilseeds and their products to february in thousands of tonnes showing those for future shipments month total and total to february in brackets bread wheat prev feb march total maize mar total nil sorghum nil nil oilseed export registrations were sunflowerseed total soybean may total nil the board also detailed export registrations for subproducts as follows subproducts wheat prev feb march apr total linseed prev feb mar apr total soybean prev feb mar nil apr nil may total sunflowerseed prev feb mar apr total vegetable oil registrations were sunoil prev feb mar apr may nil jun total linoil prev feb mar apr total soybean oil prev feb mar nil apr may jun jul total
training,wheat,0008917,french free market cereal export bids detailed paris april french operators have requested licences to export tonnes of free market maize tonnes of barley and tonnes of feed wheat at todays ec tender trade sources said for the maize rebates requested range between and european currency units per tonne for the barley between and ecus and for feed wheat ecus
training,wheat,0009261,export business grainsoilseeds complex chicago april grain and oilseed complex export business reported since yesterday by government agencies and private exporters japanese crushers bought to tonnes of canadian rapeseed in export business overnight for may shipmentgreece has agreed to buy to tonnes of spanish corn for spot shipment with italy buying to tonnes of spanish corn for lasthalf april shipment a spokesman for cargills spanish unit saidtaiwan bought tonnes of us soybeans for april may delivery c and f continued the india state trading corp bought tonnes of optional origin soybean oil for may june shipment and tonnes of rbd palm olein for april may shipment at its import tender yesterdaypakistan rejected offers at its tender for tonnes of rbd palm oil but is expected to retender next weekthe us department of agriculture usda said it has accepted a bid for an export bonus to cover the sale of tonnes of us hard red winter wehat to sri lanka for april shipment with an additional tonnes of wheat still available to sri lanka under the export enhancement program eep continued the usda said it has accepted a bid for an export bonus to cover the sale of tonnes of us durum wheat to algeria for june shipment with an additional tonnes still available to algeria under the eep tenders jordan will tender monday april for tonnes of us hard and soft wheats for various aprilnov shipments under the eep market talk and comment the usda said turkey has been made eligible for the sale of up to tonnes of medium grain milled rice under the eep market talk and comment continued the usda announced colombia has been made eligible for sale of up to tonnes of us barley malt under the eepthe canadian grain commission reported canadian wheat exports in the week ended march totalled tonnes compared with the previous week with season exports so far up to tonnes versus for the season with barley exports tonnes tonnes and respectively rapeseed tonnes tonnes and respectively and flaxseed tonnes tonens and respectively market talk and comment continued pakistan is not emerging as a major wheat exporter as world market prospects are not good enough a government official saidactive timecharter fixing by soviet operators to cover ussr grain imprts featured the ocean freight market this morning ship brokers saiddry cargo futures on the biffex extended yesterdays strong advance with sharp gains of to points in response to rumors of higher rates for grain business from the us gulf to japan dealers said
training,wheat,0000066,ascs terminal market values for pik grain kansas city feb the agricultural stabilization and conservation service ascs has established these unit values for commodities offered from government stocks through redemption of commodity credit corporation commodity certificates effective through the next business day price per bushel is in us dollars sorghum is priced per cwt corn yellow grade only wheat hrw hrs srw sww durum chicago ill track toledo memphis peoria denver evansville cincinnati minneapolis baltimore norfphil kansas city st louis amarillo lubbock hrw hrs srw sww durum lou gulf portland seattle stockton la duluth tex gulf corn brly oats rye soyb sorg chicago ill track toledo memphis peoria denver evnsvlle cinci mpls baltnor phil kc st lo amarlo lubbck lou gulf port seattle stockton la duluth tex gulf
training,wheat,0000744,one offer for srw wheat on call session no milo st louis march one offer but no bid was posted for srw wheat on the call session at the st louis merchants exchange today there were no bids or offers for milo june july bill of lading for wheat was offered at over july no comparison no bid
training,wheat,0003802,around mln acres said to be idled by washington march a program would have very little impact on us acreage prompting farmers to idle only an additional mln acres of cropland every year according to a report from the agriculture department the savings resulting from the additional mln acres idled would be a little over mln dlrs in loan savings mln dlrs in transportation and storage savings and mln dlrs per year in deficiency payment savings the report said the usda report asssessed the impacts of the proposed acreage program for wheat corn cotton sorghum and barley last year almost mln acres of those crops were harvested the likelihood that the provisiion will cause very large acreages to be removed from crop production is quite small the report said the returns on typical farms still favor participation in the usual acreage reduction programs and seeding the permitted acreage the usda report said the program which would allow farmers to forego planting and still receive pct of their deficiency payment would be most used by producers in high productionhigh risk areas where cost of production is high said keith collins director of usdas economics analysis staff in the heart of the corn belt you would not get that much participation collins said usda estimated that an additional one mln acres of wheat would be ildled under mln acres of corn acres of sorghum and barley and acres of cotton production from these idled acres would be equivalent to mln bushels of wheat mln bushels of corn mln bushels of sorghum mln bushels of barley and bales of cotton the report said in determining whether to participate a producer would need to weigh the expected cash costs of production against the loan rate the risk that market prices may rise above the expected levels and reduce the deficiency payment also must be considered according to the analysis what youre giving up under is the difference between the loan rate and the cost of production collins said for producers with low production costs that difference is greater and can be applied to paying variable costs he said under these cicumstances farmers would not want to go along with but for high cost producers would be more attractive also as loan rates get lower collins said there would be more incentives to participate in a program i would admit that its impacts would be very marginal at first but it is a step towards the goal of separating production decisions from government payments collins said in a speech earlier today before the national grains and feed association usda secretary richard lyng said it is too late to implement for crops since program signup will be over by the end of this month
training,wheat,0008322,uk intervention feed wheat sold to home market london april a total of tonnes of uk intervention feed wheat was sold to the home market at this weeks tender provisional results show the home grown cereals authority hgca said actual prices were not reported but the wheat was sold at or above the march intervention price of stg per tonne grain traders sought to buy about tonnes
training,wheat,0006382,sri lanka tendering overnight for wheat chicago march sri lanka will tender overnight for tonnes of us canadian andor australian wheats for april shipment under the export enhancement program if us origin us exporters said
training,wheat,0005217,shultz not opposed to wheat subsidy to soviets washington march secretary of state george shultz has decided not to oppose any us wheat subsidy offer to the soviet union and has left the final decision on whether to sell subsidized wheat to moscow up to president reagan and the agriculture department a state department official said shultz feels like he fought the battle against a subsidy last summer and hes not going to the mat again its now basically the usda who has to make their decisions as to what they want to do the official said if usda decides to go ahead with a subsidy offer to the soviet union he said shultz will not wage a vigorous campaign against it he might not come out in favor of it but he wont go to the president and voice his objections in an official statement clarifying shultzs remarks yesterday to leaders of the national association of wheat growers the state department said secretary shultz expressed his belief that whenever possible us grain should be competitive on world markets including the soviet union the agriculture department is in the best position to determine whether consideration should be given at this time to extending to the soviets a subsidy under the export enhancement program although shultz will not oppose a wheat subsidy to the soviets there remain obstacles to another subsidy offer to moscow the state department official said everyone in the government agrees that if there is a subsidy to be offered we would not offer it unless we had a firm commitment from the soviets that they would buy usda does not want a repetition of last summer when the ussr baulked at its offer of four mln tonnes of subsidized wheat the official who asked not to be identified said the soviets rejected the us offer then on the grounds that the dlr per tonne subsidy was insufficient to bring us prices down to competitive levels the soviets want a higher subsidy offer this time the state department source said what the soviets want is something equivalent to the lowest price being paid by anyone in the world he said the soviets argue that they are the best customer of the us and that they are entitled to the best price he said government and commodity sources also said there are elements in the usda most notably undersecretary daniel amstutz who remain opposed to a wheat subsidy to the soviets subsidized wheat to the soviet union is still not a foregone conclusion the state department official said
training,wheat,0002529,china buys us hard and soft wheat chicago march private exporters said china bought a total of tonnes of us wheat under the export enhancement program with final confirmation by the us department of agriculture of the subsidies still awaited the purchase consisted of a total of tonnes of hard red winter wheat for various mayaug shipments with tonnes of soft red winter for augsept the exporters said
training,wheat,0008368,fao approves emergency food aid for ethiopia rome april the united nations food and agriculture organization fao said it approved emergency food aid worth more than mln dlrs for drought victims in ethiopia the aid will include tonnes of wheat and tonnes of vegetable oil for farmers in the wollo and illubabor regions fao said it has also approved more than mln dlrs of food aid for families in sri lanka in addition dlrs of aid will be made available to malawi to feed people displaced from mozambique and a further dlrs for cyclone victims in vanuatu in the south pacific
training,wheat,0009324,australian weekly wheat shipments week to in tonnes for crop year beginning oct current week prev week crop year to date prev crop to date
training,wheat,0009093,pakistan not seen as major wheat exporter islamabad april pakistan is not emerging as a major wheat exporter as world market prospects are not good enough sartaj aziz special assistant on food and agriculture to the pakistani prime minister said in an interview no exports are planned for the next months or so and plans last year to sell one mln tonnes to iran came to nothing because they could not agree a price he said aziz forecast that pakistan may have exportable surpluses of one mln tonnes or a half mln tonnes over the next few harvests in years when the weather is favourable the government does not wish to increase output much above this because of low world prices and the land would be better used for other crops aziz said the pakistani government does not want area sown to wheat to increase from the current seven mln hectares some pct of that area which gives low yields could be switched to more profitable crops such as oilseeds the aim is to concentrate on raising yields from the current to tonnes per ha to at least tonnes per ha over the next five to seven years he said aziz said the current crop harvesting of which is just beginning is expected to yield around a record mln tonnes this compares with a target of mln and last years yield of mln he said rains some six weeks ago helped the crop but more recent rains reduced prospects slightly the longterm wheat production target is for some mln tonnes by mid taking into account pakistans annual population growth rate of more than three pct current consumption is some mln tonnes the current wheat reserve is mln tonnes aziz said this compares with a minimum reserve commitment of one mln tonnes which pakistan will maintain at all costs and a strategic reserve target of two mln tonnes despite the fact that stocks are a halfmln tonnes over target the surplus will not be exported at present he said the government wants to keep an extra safety margin until it sees what effect the abolition of a yearold wheat rationing system will have on domestic consumption new exports will be considered only in about a years time when the crop can be gauged as well he said the new domestic policy introduced on march is for the government to supply unlimited quantities of wheat at two rupees per kilo with other costs this means a price in pakistani markets of between and rupees per kilo under the old system introduced during world war two and due to be phased out by april some mln ration cards were issued enabling poor people to buy wheat cheaply aziz said following the introduction of a government support price in the s the system become so corrupted that only to pct of subsidised wheat was actually reaching the consumer the rest being diverted illicitly to the mills the ration system had also not had the stabilising effect on the internal wheat market that was intended aziz said prices have already begun to fall with the introduction of the new system the wheat price in karachi the most expensive pakistani city had dropped from rupees per kilo on march to rupees on march aziz said he does not expect the change in system to have a major effect on total consumption but it may encourage better use of sideproducts such as bran
training,wheat,0000129,us wheat bonus to soviet called dormant washington feb the us agriculture department is not actively considering offering subsidized wheat to the soviet union under the export enhancement program eep senior usda officials said however grain trade analysts said the proposal has not been ruled out and that an offer might be made though not in the very near future the grain companies are trying to get this fired up again an aide to agriculture secretary richard lyng said but there just isnt much talk about it informally or formally most analysts interviewed by reuters were more confident than usda officials that bonus wheat would be offered to the soviets even though us officials did not make such an offer when they held grain talks with soviet counterparts earlier this week but administration and private sources agreed that if the reagan administration did decide to offer subsidized wheat to moscow it could take several months i just dont see any proposal like that sailing through any interagency process the aide to lyng said an export enhancement offer is not consummated overnight said one former usda official who noted that the administration took three months to decide in favor of selling china wheat under the subsidy program an official representing a large grain trade company said deliberations within usda might be nudged along by members of congress a number of whom urged usda this week to make a wheat subsidy offer to the soviets but lyngs aide said that during a daylong visit to capitol hill yesterday house members did not press the secretary on the subsidy question a single time the administrations interagency trade policy review group comprised of subcabinetlevel officials has not been asked to clear a request to offer moscow wheat under the eep officials at the us trade representatives office said in their talks this week the two sides discussed the administrations previous eep offer but did not talk about any new initiative one usda official who took part in the consultations this week described them as an exchange of calm basic factual economics another usda official said there was not even an informal suggestion or hint that the soviets would live up to their pledge to buy four mln tonnes of wheat this year if they were granted more favorable terms usda and private sources agreed that consideration of an eep initiative by interagency review groups likely would be delayed because of disarray within the white house stemming from the iran arms affair
training,wheat,0009010,uk wheat market eases on intervention release london april uk domestic wheat markets dropped about one stg per tonne early this morning following overnight news that the ec is releasing a further tonnes of wheat from british intervention stores for the home market over a three month period april deliveries of denaturable wheat were offered in east anglia at stg and may at stg per tonne both one stg down on yesterdays traded rates the market is expecting uk wheat futures to show a similar loss at todays opening
training,wheat,0008009,lyng has no comment on wheat subsidy to soviets washington march us agriculture secretary richard lyng declined to confirm statements made today by a farm state congressman that the united states will offer subsidized wheat to the soviet union within the next days to two weeks when asked to clarify comments by rep pat roberts of kansas that the administration would soon offer export enhancement wheat to the soviet union lyng said well it wont be today and then added we have no official comment one way or the other lyng would not comment on whether a wheat subsidy offer to the ussr is under more active consideration at the usda saying that any remarks by him would be tantamount to an official announcement and could be construed inappropriately
training,wheat,0009212,us durum wheat bonus bid to algeria accepted washington april the us agriculture department said it has accepted a bid for an export bonus to cover the sale of tonnes of us durum wheat to algeria a bonus of dlrs per tonne was awarded to cam usa inc on the shipment scheduled for june melvin sims usda general sales manager said an additional tonnes of durum wheat are available to algeria under the departments export enhancement program sims said
training,wheat,0001759,us wheat growers want eep to soviet union washington march the us national association of wheat growers nawg urged the reagan administration offer the soviet union wheat under the export enhancement program eep in a letter to agriculture secretary richard lyng nawg stated its strong support for an eep offer to moscow we believe that a solid case continues to exist for soviet eep eligibility and the recently announced and reported soviet purchases of us corn indicate a soviet willingness to purchase us grain if it is competitively priced nawg said consequently we believe it is important to renew the us eep offer and do all that is reasonably possible to ensure mutual adherence to the terms of the ussoviet grain agreement the letter said
training,wheat,0003164,us market loan not that attractiveboschwitz washington march a marketing loan for us wheat feedgrains and soybeans would do nothing to help the surplus production situation and would be extremely costly sen rudy boschwitz rminn said i think i would not support a marketing loan now he told the house agriculture subcommittee on wheat soybeans and feedgrains boschwitz was one of the original supporters of a marketing loan for cotton and rice but has since focused support on decoupling legislation the borenboschwitiz bill a market loan for grains and soybeans would encourage more production especially in highyielding areas would be much more expensive than the current cotton and rice marketing loans and not increase exports significantly he said
training,wheat,0000881,ec driving to capture brazil wheat market usda washington march the european community ec sold tonnes of soft wheat at a subsidized price of between and dlrs per tonne fob for march delivery in a continuing bid to establish itself in the brazilian wheat market the us agriculture department said the sale sharply undercut the us offer of dlrs per tonne fob for tonnes of wheat it said in its latest report on export markets for us grains ec sales to brazil total about tonnes during julyjune in stark contrast to only tonnes in the season it said the increasing presence of ec wheat in brazil comes at a time when the brazilian wheat board bwb expects the wheat import market will expand to mln tonnes from the current forecast of mln in the year the bwb cites record consumption and an eventual decline in domestic production and says government plans to lower the guaranteed price of wheat from dlrs per tonne to dlrs will contribute to greater import demand the usda said it said the bwb expects the us to be major supplier of the additional tonnes but commitments for purchase of us wheat through twothirds of year total only tonnes versus a year ago
training,wheat,0007754,usda to update winter wheat acreage tomorrow washington march the us agriculture department said it will update its estimate of winter wheat seeded acreage in the prospective planting report scheduled for release at est gmt tomorrow march the original estimate of seedings of winter wheat was published in january it said the new survey is possible because of the new integrated nationwide survey program that uses probability sampling procedures that combine information from farmers operating in selected areas and farmers identified on special lists
training,wheat,0007159,usda comments on export sales report washington march corn sales of tonnes in the week ended march were the highest level since midnovember the us agriculture department said the department said the ussr dominated the weeks activity with purchases of mln tonnes which were earlier reported under the daily reporting system other large increaes were posted for japan and unknown destinations it said taiwan purchased tonnes for the season and tonnes for the season it said wheat sales of tonnes for the current season and tonnes for the season were down about onethird from the preceding week and the fourweek average wheat sales to china of tonnes were switched from to the season it noted soybean sales of tonnes were pct above the prior week and twothirds above the fourweek average japan the netherlands mexico and portugal were the main buyers the department said soybean cake and meal sales of tonnes were twothirds above the previous week and the largest of the marketing year with venezuela the dominant purchaser sales activity in soybean oil resulted in decreases of tonnes as reductions for unknown destinations more than offset increases for canada the dominican republic and panama the department said cotton sales of running bales bales for the current year and bales for the season were off pct from the previous week and pct from the fourweek average turkey thailand south korea and canada were the major buyers for the current season while thailand britain and japan were the major purchasers from the upcoming season the department said sorghum sales of tonnes were twothirds above the prior week and pct over the fourweek average venezuela was the leading buyer it said sales of tonnes of barley were times the previous week and pct greater than the fourweek average israel cyprus and saudi arabia were the main buyers it said
training,wheat,0000817,more intermediate us wheat credits for morocco washington march the commodity credit corporation has approved an additional mln dlrs under its interemdiate export credit guarantee program gsm for sales of us wheat to morocco the us agriculture department said the action increases moroccos cumulative fiscal year program for wheat under gsm to mln dlrs the credit terms extended for exports under the program must be in excess of three years but no more than seven years to eligible for credit coverage all sales under this line must be registered and exported by september the department also said the guarantee line for sales of us wheat under the export credit guarantee program gsm has been decreased mln dlrs to mln
training,wheat,0001605,us senate group urges subsidies for ussr washington march a majority of the senate agriculture committee urged president reagan to reverse his opposition to export subsidies to the soviet union as a way to get its negotiators to purchase some mln dlrs in american wheat the group led by committee chairman patrick leahy a vermont democrat urged reagan to step up negotiations with the soviet union by providing export subsidies to help us farmers
training,wheat,0006148,rice corn lead us farm payments usda washington march rice and corn farmers will receive the largest payments from the us government during if the subsidies are calculated per planted acre the us agriculture department said usda said government outlays to rice farmers in are expected to reach dlrs per acre planted followed by corn at dlrs per planted acre government outlays include mainly deficiency payments and price support loans on a per acre basis cotton payments will reach dlrs in wheat dlrs sorghum dlrs barley dlrs and oats dlrs usda said usda estimates farm subsidies will reach billion dlrs in the figures were given by usda officials at a senate agriculture appropriations hearing yesterday
training,wheat,0001039,french wheat exports to ec fall paris march french soft wheat exports to other european community countries fell pct to mln tonnes in the first seven months of the season to january compared with mln in the same period the french cereals intervention office onic said according to latest onic statistics the main buyers were italy with mln against mln in the same period west germany tonnes against the netherlands and belgium tonnes british and greek imports of french soft wheat during this period were below yearago levels between july last year and january britain bought tonnes against tonnes onic figures showed but spanish purchases were up sharply at tonnes against tonnes in the same period and portugal bought tonnes compared with zero onic said the drop in french exports to other community countries was due to british competition
training,wheat,0008885,france sold wheat flour to china onic paris april france has sold between to tonnes of wheat flour to china the director general of frances cereal intervention board onic bernard vieux said he gave no further details of the sale but added french millers were worried about the unfair competition facing french flour due the lack of endofseason storage premiums for wheat onic raised its estimate of flour exports to mln tonnes compared mln forecast in march and the mln exported in
training,wheat,0008712,egypt authorized to buy pl wheat flourusda washingon april egypt has been authorized to purchase about tonnes of us wheat flour under an existing pl agreement the us agriculture department said it may buy the wheat flour valued at mln dlrs between april and august and ship it by september the department said
training,wheat,0004280,world crop weather summary usdanoaa washington march dry weather covered most european crop areas in the week ended march except for those in southwestern france southern italy and greece the joint agricultural weather facility of the us agriculture and commerce departments said in its international weather and crop sumary the agency said mixed rain and snow covered greece winter grains in england france and northern italy remained dormant grains usuaually break dormancy in march winter grains in eastern europe usually break dormancy in early april it said showers improved irrigation supplies in winter wheat areas of northern pakistan and northern india it said normally wheat harvesting is well underwaty in central india and just beginnning to the north ending in most areas by late april showers improved irrigation supplies in southern india reversing februarys belownormal trend summer rice is usually in or nearing reproduction in most southern areas it said in the philippines most rainfall was restricted to the central islands continuing februarys drying trend in luzon and southern mindanao locally heavy showers dotted indonesia and malaysia as rainfall generally decreased eastward through the islands in february locally heavy showers may have caused flooding in java it said the second cnsecutive week of dry weather stressed moroccan winter grains approaching teh heading stage the agency said light to moderate rain spread from northern thailand to northern vietnam as dry weather prevailed elsewhere in southeast asia dry weather covered winter grain areas in western and central algeria but soil moisture was likely adequate to meet crop demands it said light showers in eastern algeria and tunisia maintained adequate moisture for crop growth it said timely rains will be needed in the next several weeks as winter grains advance through the critical reproductive phase the agency said
